"link","State","pop2016","pop2010","GrowthRate"
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/los-angeles-county-population/"",""children"":""Los Angeles County""},""_owner"":null}","California",10163507,9824490,0.034507338294405
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/il/cook-county-population/"",""children"":""Cook County""},""_owner"":null}","Illinois",5211263,5199477,0.002266766445932822
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/harris-county-population/"",""children"":""Harris County""},""_owner"":null}","Texas",4652980,4107854,0.13270335313767245
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/az/maricopa-county-population/"",""children"":""Maricopa County""},""_owner"":null}","Arizona",4307033,3824644,0.12612651007518605
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/san-diego-county-population/"",""children"":""San Diego County""},""_owner"":null}","California",3337685,3103793,0.07535682953083533
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/orange-county-population/"",""children"":""Orange County""},""_owner"":null}","California",3190400,3017116,0.05743365518594579
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/miami-dade-county-population/"",""children"":""Miami Dade County""},""_owner"":null}","Florida",2751796,2507228,0.09754517738314994
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/kings-county-population/"",""children"":""Kings County""},""_owner"":null}","New York",2648771,2510842,0.054933364982742816
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/dallas-county-population/"",""children"":""Dallas County""},""_owner"":null}","Texas",2618148,2372257,0.10365276612104002
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/riverside-county-population/"",""children"":""Riverside County""},""_owner"":null}","California",2423266,2202001,0.10048360559327629
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/queens-county-population/"",""children"":""Queens County""},""_owner"":null}","New York",2358582,2235764,0.05493334716902143
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/nv/clark-county-population/"",""children"":""Clark County""},""_owner"":null}","Nevada",2204079,1952906,0.128614997342422
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/wa/king-county-population/"",""children"":""King County""},""_owner"":null}","Washington",2188649,1937378,0.12969642475552012
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/san-bernardino-county-population/"",""children"":""San Bernardino County""},""_owner"":null}","California",2157404,2041234,0.05691165246120722
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/tarrant-county-population/"",""children"":""Tarrant County""},""_owner"":null}","Texas",2054475,1817417,0.1304367682265546
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/tx/bexar-county-population/"",""children"":""Bexar County""},""_owner"":null}","Texas",1958578,1722797,0.13685942104612447
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/santa-clara-county-population/"",""children"":""Santa Clara County""},""_owner"":null}","California",1938153,1786542,0.08486282438364179
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/broward-county-population/"",""children"":""Broward County""},""_owner"":null}","Florida",1935878,1752907,0.10438146461848796
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/mi/wayne-county-population/"",""children"":""Wayne County""},""_owner"":null}","Michigan",1753616,1815069,-0.03385711507386224
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/new-york-county-population/"",""children"":""New York County""},""_owner"":null}","New York",1664727,1589217,0.04751396442398992
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/alameda-county-population/"",""children"":""Alameda County""},""_owner"":null}","California",1663190,1513402,0.09897436371829826
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ma/middlesex-county-population/"",""children"":""Middlesex County""},""_owner"":null}","Massachusetts",1602947,1507028,0.06364778889310618
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/pa/philadelphia-county-population/"",""children"":""Philadelphia County""},""_owner"":null}","Pennsylvania",1580863,1528271,0.03441274486004109
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ca/sacramento-county-population/"",""children"":""Sacramento County""},""_owner"":null}","California",1530615,1421651,0.07664609668617683
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/suffolk-county-population/"",""children"":""Suffolk County""},""_owner"":null}","New York",1492953,1494689,-0.0011614456251434202
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/bronx-county-population/"",""children"":""Bronx County""},""_owner"":null}","New York",1471160,1388122,0.059820390426778
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/palm-beach-county-population/"",""children"":""Palm Beach County""},""_owner"":null}","Florida",1471150,1323753,0.11134781186520448
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/hillsborough-county-population/"",""children"":""Hillsborough County""},""_owner"":null}","Florida",1408566,1233557,0.14187346024545278
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/ny/nassau-county-population/"",""children"":""Nassau County""},""_owner"":null}","New York",1369514,1341903,0.02057600288545447
"{""type"":""a"",""key"":null,""ref"":null,""props"":{""href"":""/us-counties/fl/orange-county-population/"",""children"":""Orange County""},""_owner"":null}","Florida",1348975,1148696,0.1743533537158657
